ComplexID	ComplexName	Organism	Synonyms	Cell line	subunits(UniProt IDs)	subunits(Entrez IDs)	Protein complex purification method	GO ID	GO description	FunCat ID	FunCat description	subunits(Protein name)	Disease comment	subunits(Gene name syn)	SWISSPROT organism	subunits(Gene name)	Complex comment	Subunits comment	PubMed ID
5623	Ask1-HSP90-AKT1 complex	Bovine	None	BREC cells	O35099;Q01314;Q76LV1;Q76LV2	26408;280991;767874;281832	MI:0019- coimmunoprecipitation	GO:0006915	apoptotic process	40.10.02	apoptosis (type I programmed cell death)	Mitogen-activated protein kinase kinase kinase 5 ;RAC-alpha serine/threonine-protein kinase ;Heat shock protein HSP 90-beta;Heat shock protein HSP 90-alpha	None	Ask1 Mekk5;PKB;HSPCB;HSP90A HSPCA	Mus musculus (Mouse);Bos taurus (Bovine);Bos taurus (Bovine);Bos taurus (Bovine)	Map3k5;AKT1;HSP90AB1;HSP90AA1	The data suggest that Hsp90 may serve as a scaffold to hold Akt-ASK1 in close proximity.	Since bovine Map3k5 was not available in the UniProt database at the time of annotation, the orthologous protein from mouse was used.	15782121
5624	Sema3E-PlexinD1 complex	Mammalia	None	COS-7 cells	P70275;Q3UH93	20349;67784	MI:0007- anti tag coimmunoprecipitation	GO:0023052;GO:0010183;GO:0030182;GO:0007420;GO:0001568;GO:0001944;GO:0005886;GO:9999986	signaling;pollen tube guidance;neuron differentiation;brain development;blood vessel development;vasculature development;plasma membrane;no GO term corresponding to 77.03.01	30.01;40.01.03.03;43.03.13;47.03.01.01.01;47.03.03.02;70.02;77.03.01	cellular signalling;guidance of longitudinal cell extension (e.g. pollen tube guidance, axonal pathfinding);neuron;brain;vessels;eukaryotic plasma membrane / membrane attached;nervous system	Semaphorin-3E ;Plexin-D1	None	Semah Semh;	Mus musculus (Mouse);Mus musculus (Mouse)	Sema3e;Plxnd1	Sema3E-PlexinD1 signaling plays an important role in initial development of descending axon tracts in the forebrain.	Mouse is used as reference organism.	18054858
5626	Sema3E-PlexinD1-Nrp1 complex	Mammalia	None	COS-7 cells	P70275;P97333;Q3UH93	20349;18186;67784	MI:0007- anti tag coimmunoprecipitation	GO:0023052;GO:0010183;GO:0030182;GO:0007420;GO:0001568;GO:0001944;GO:0005886;GO:9999986	signaling;pollen tube guidance;neuron differentiation;brain development;blood vessel development;vasculature development;plasma membrane;no GO term corresponding to 77.03.01	30.01;40.01.03.03;43.03.13;47.03.01.01.01;47.03.03.02;70.02;77.03.01	cellular signalling;guidance of longitudinal cell extension (e.g. pollen tube guidance, axonal pathfinding);neuron;brain;vessels;eukaryotic plasma membrane / membrane attached;nervous system	Semaphorin-3E ;Neuropilin-1 ;Plexin-D1	None	Semah Semh;Nrp;	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Sema3e;Nrp1;Plxnd1	Sema3E-PlexinD1 signaling plays an important role in the initial development of descending axon tracts in the forebrain. Together with Npn1 the repulsive signaling of Sem3E-PlexinD1 is converted to attraction.	Mouse is used as reference organism.	18054858
5627	Cdh23-Myo1c complex	Mouse	None	None	Q99PF4;Q9WTI7	22295;17913	MI:0019- coimmunoprecipitation	GO:0005216;GO:9999983	ion channel activity;no GO term corresponding to 77.03.02.01	20.03.01.01;77.03.02.01	ion channels;ear	Cadherin-23 ;Unconventional myosin-Ic	None	;	Mus musculus (Mouse);Mus musculus (Mouse)	Cdh23;Myo1c	CDH23 and myosin-1c cooperate to regulate the activity of mechanically gated ion channels in hair cells.	None	15057245
5628	Ask1-Traf6 complex, LPS induced	Mouse	None	None	O35099;P70196	26408;22034	MI:0006- anti bait coimmunoprecipitation	GO:0006955	immune response	36.25.16	immune response	Mitogen-activated protein kinase kinase kinase 5 ;TNF receptor-associated factor 6	None	Ask1 Mekk5;	Mus musculus (Mouse);Mus musculus (Mouse)	Map3k5;Traf6	ASK1 formed a complex with TRAF6 in response to LPS (lipopolysaccharide), and this complex formation and subsequent ASK1 activation required LPS-induced production of reactive oxygen species (ROS).	None	15864310
5629	Sema3E-PlexinD1 complex	Mammalia	None	COS-1 cells	P70275;Q3UH93	20349;67784	MI:0007- anti tag coimmunoprecipitation	GO:0023052;GO:0010183;GO:0030182;GO:0007420;GO:0001568;GO:0001944;GO:0005886;GO:9999986	signaling;pollen tube guidance;neuron differentiation;brain development;blood vessel development;vasculature development;plasma membrane;no GO term corresponding to 77.03.01	30.01;40.01.03.03;43.03.13;47.03.01.01.01;47.03.03.02;70.02;77.03.01	cellular signalling;guidance of longitudinal cell extension (e.g. pollen tube guidance, axonal pathfinding);neuron;brain;vessels;eukaryotic plasma membrane / membrane attached;nervous system	Semaphorin-3E ;Plexin-D1	None	Semah Semh;	Mus musculus (Mouse);Mus musculus (Mouse)	Sema3e;Plxnd1	Sema3E-PlexinD1 signaling does not require neuropilins, which were previously presumed to be obligate Sema3 coreceptors.	Mouse is used as reference organism.	15550623
5641	PSD95-FYN-NR2A complex	Human	None	HEK 293T cells	P06241;P78352;Q12879	2534;1742;2903	MI:0006- anti bait coimmunoprecipitation	GO:0023052;GO:0005886	signaling;plasma membrane	30.01;70.02	cellular signalling;eukaryotic plasma membrane / membrane attached	Tyrosine-protein kinase Fyn ;Disks large homolog 4 ;Glutamate receptor ionotropic, NMDA 2A	None	;PSD95;NMDAR2A	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	FYN;DLG4;GRIN2A	NR2A was coimmunoprecipitated with Fyn only in the presence of PSD-95. So it was shown that PSD-95 induced formation of a ternary complex of NR2A, PSD-95, and Fyn.	None	9892651
5642	Securin-separase complex	Human	None	None	O95997;Q14674	9232;9700	MI:0027- cosedimentation; MI:0071- molecular sieving	GO:0000280;GO:0007059	nuclear division;chromosome segregation	10.03.04.07;10.03.04.05	nuclear division;chromosome segregation/division	Securin ;Separin	None	EAP1 PTTG TUTR1;ESP1 KIAA0165	Homo sapiens (Human);Homo sapiens (Human)	PTTG1;ESPL1	None	None	15880121
5643	ESPL1-CDC2 complex	Human	None	None	P06493;Q14674	983;9700	MI:0019- coimmunoprecipitation	GO:0000280;GO:0007059	nuclear division;chromosome segregation	10.03.04.07;10.03.04.05	nuclear division;chromosome segregation/division	Cyclin-dependent kinase 1 ;Separin	None	CDC2 CDC28A CDKN1 P34CDC2;ESP1 KIAA0165	Homo sapiens (Human);Homo sapiens (Human)	CDK1;ESPL1	None	None	15989971
5644	Sharpin homo-oligomer complex	Rat	None	None	Q9EQL9	81859	MI:0019- coimmunoprecipitation	GO:0006461	protein complex assembly	14.10	assembly of protein complexes	Sharpin	None	None	Rattus norvegicus (Rat)	Sharpin	The potential role of the multimerization of Sharpin is to provide a link between Shank and as yet undentified binding patner(s) of Sharpin.	Oligomer	11178875
5645	Sharpin-Shank1 complex	Rat	None	brain	Q9EQL9;Q9WV48	81859;78957	MI:0019-coimmunoprecipitation	GO:0035556	intracellular signal transduction	30.01	cellular signalling	Sharpin ;SH3 and multiple ankyrin repeat domains protein 1	None	;	Rattus norvegicus (Rat);Rattus norvegicus (Rat)	Sharpin;Shank1	None	None	11178875
5646	FARP2-NRP1-PlexinA1 complex	Human	None	HEK 293 cells	O14786;O94887;Q9UIW2	8829;9855;5361	MI:0019- coimmunoprecipitation	GO:0023052;GO:0007399	signaling;nervous system development	30.01;47.03.01	cellular signalling;nervous system	Neuropilin-1 ;FERM, RhoGEF and pleckstrin domain-containing protein 2 ;Plexin-A1	None	NRP VEGF165R;KIAA0793 PLEKHC3;NOV PLXN1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	NRP1;FARP2;PLXNA1	Interaction of FARP2 with PlexinA1 is substantially reduced in the absence of neuropilin1.	None	16286926
5647	FARP2-NRP1-PlexinA2 complex	Human	None	HEK 293 cells	O14786;O75051;O94887	8829;5362;9855	MI:0019- coimmunoprecipitation	GO:0023052;GO:0007399	signaling;nervous system development	30.01;47.03.01	cellular signalling;nervous system	Neuropilin-1 ;Plexin-A2 ;FERM, RhoGEF and pleckstrin domain-containing protein 2	None	NRP VEGF165R;KIAA0463 OCT PLXN2;KIAA0793 PLEKHC3	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	NRP1;PLXNA2;FARP2	None	None	16286926
5648	FARP2-NRP1-PlexinA3 complex	Human	None	HEK 293 cells	O14786;O94887;P51805	8829;9855;55558	MI:0019- coimmunoprecipitation	GO:0023052;GO:0007399	signaling;nervous system development	30.01;47.03.01	cellular signalling;nervous system	Neuropilin-1 ;FERM, RhoGEF and pleckstrin domain-containing protein 2 ;Plexin-A3	None	NRP VEGF165R;KIAA0793 PLEKHC3;PLXN4 SEX	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	NRP1;FARP2;PLXNA3	None	None	16286926
5649	FARP2-NRP1-PlexinA4 complex	Human	None	HEK 293 cells	O14786;O94887;Q9HCM2	8829;9855;91584	MI:0019- coimmunoprecipitation	GO:0023052;GO:0007399	signaling;nervous system development	30.01;47.03.01	cellular signalling;nervous system	Neuropilin-1 ;FERM, RhoGEF and pleckstrin domain-containing protein 2 ;Plexin-A4	None	NRP VEGF165R;KIAA0793 PLEKHC3;KIAA1550 PLXNA4A PLXNA4B	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	NRP1;FARP2;PLXNA4	None	None	16286926
5654	SEMA4A-PlexinD1 complex	Human	None	None	Q9H3S1;Q9Y4D7	64218;23129	MI:0030- cross-linking studies	GO:0023052;GO:0010183;GO:0001525;GO:0001568;GO:0001944	signaling;pollen tube guidance;angiogenesis;blood vessel development;vasculature development	30.01;40.01.03.03;41.05.16;47.03.03.02	cellular signalling;guidance of longitudinal cell extension (e.g. pollen tube guidance, axonal pathfinding);angiogenesis;vessels	Semaphorin-4A ;Plexin-D1	None	SEMAB SEMB;KIAA0620	Homo sapiens (Human);Homo sapiens (Human)	SEMA4A;PLXND1	SEMA4A-PlexinD1 signaling negatively regulates angiogenesis.	None	17318185
5655	Ternary complex (LRRC7, CAMK2a, ACTN4)	Human	None	None	O43707;Q96NW7;Q9UQM7	81;57554;815	MI:0397- two hybrid array; MI:0019- coimmunoprecipitation	GO:0007155	cell adhesion	34.07	cell adhesion	Alpha-actinin-4 ;Leucine-rich repeat-containing protein 7 ;Calcium/calmodulin-dependent protein kinase type II subunit alpha	None	;KIAA1365 LAP1;CAMKA KIAA0968	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	ACTN4;LRRC7;CAMK2A	None	None	11160423
5656	CEBPE-E2F1-RB1 complex	Human	None	None	P06400;Q01094;Q15744	5925;1869;1053	MI:0019- coimmunoprecipitation	GO:0030851	granulocyte differentiation	43.03.07.02.02	granulocyte	Retinoblastoma-associated protein ;Transcription factor E2F1 ;CCAAT/enhancer-binding protein epsilon	None	;RBBP3;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	RB1;E2F1;CEBPE	None	None	12947005
5658	Nrp1-PlexinD1 complex	Human	None	HEK 293T cells	O14786;Q9Y4D7	8829;23129	MI:0007- anti tag coimmunoprecipitation	GO:0023052;GO:0010183;GO:0001525;GO:0048738;GO:0007507;GO:0001568;GO:0001944	signaling;pollen tube guidance;angiogenesis;cardiac muscle tissue development;heart development;blood vessel development;vasculature development	30.01;40.01.03.03;41.05.16;45.03.12.03;47.03.03.02	cellular signalling;guidance of longitudinal cell extension (e.g. pollen tube guidance, axonal pathfinding);angiogenesis;heart muscle;vessels	Neuropilin-1 ;Plexin-D1	None	NRP VEGF165R;KIAA0620	Homo sapiens (Human);Homo sapiens (Human)	NRP1;PLXND1	PlexinD1-Npn1 form a functional receptor for Sema3C.	None	15239958
5659	SEMA3C-PlexinD1-Nrp1 complex	Mammalia	None	COS-7 cells	O14786;Q99985;Q9Y4D7	8829;10512;23129	MI:0428- imaging techniques	GO:0023052;GO:0010183;GO:0001525;GO:0048738;GO:0007507;GO:0001568;GO:0001944	signaling;pollen tube guidance;angiogenesis;cardiac muscle tissue development;heart development;blood vessel development;vasculature development	30.01;40.01.03.03;41.05.16;45.03.12.03;47.03.03.02	cellular signalling;guidance of longitudinal cell extension (e.g. pollen tube guidance, axonal pathfinding);angiogenesis;heart muscle;vessels	Neuropilin-1 ;Semaphorin-3C ;Plexin-D1	None	NRP VEGF165R;SEMAE;KIAA0620	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	NRP1;SEMA3C;PLXND1	None	Human is used as reference organism.	15239958
5660	PlexinC1-SEMA7A complex	Mammalia	None	COS cells	O60486;O75326	10154;8482	MI:0428- imaging techniques	GO:0023052;GO:0010183	signaling;pollen tube guidance	30.01;40.01.03.03	cellular signalling;guidance of longitudinal cell extension (e.g. pollen tube guidance, axonal pathfinding)	Plexin-C1 ;Semaphorin-7A	None	VESPR;CD108 SEMAL	Homo sapiens (Human);Homo sapiens (Human)	PLXNC1;SEMA7A	None	Human is used as reference organism.	10520995
5661	PlexinC1-SEMA7A complex	Mammalia	None	COS cells	O43157;Q92854	5364;10507	MI:0428- imaging techniques	GO:0023052;GO:0010183	signaling;pollen tube guidance	30.01;40.01.03.03	cellular signalling;guidance of longitudinal cell extension (e.g. pollen tube guidance, axonal pathfinding)	Plexin-B1 ;Semaphorin-4D	None	KIAA0407 PLXN5 SEP;C9orf164 CD100 SEMAJ	Homo sapiens (Human);Homo sapiens (Human)	PLXNB1;SEMA4D	None	Human is used as reference organism.	10520995
5663	TRIM27-RB1 complex	Human	None	None	P06400;P14373	5925;5987	MI:0096- pull down; MI:0019- coimmunoprecipitation	GO:2001141;GO:0006355	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated	11.02.03.04	transcriptional control	Retinoblastoma-associated protein ;Zinc finger protein RFP	None	;RFP RNF76	Homo sapiens (Human);Homo sapiens (Human)	RB1;TRIM27	None	None	15837424
5668	PlexinA1-Nrp1 complex	Mammalia	None	COS cells	O14786;Q9UIW2	8829;5361	MI:0007- anti tag coimmunoprecipitation	GO:0023052;GO:0010183;GO:0007399	signaling;pollen tube guidance;nervous system development	30.01;40.01.03.03;47.03.01	cellular signalling;guidance of longitudinal cell extension (e.g. pollen tube guidance, axonal pathfinding);nervous system	Neuropilin-1 ;Plexin-A1	None	NRP VEGF165R;NOV PLXN1	Homo sapiens (Human);Homo sapiens (Human)	NRP1;PLXNA1	None	The orthologous human proteins are used.	10520995
5669	PlexinA3-Nrp1 complex	Mammalia	None	COS cells	O14786;P51805	8829;55558	MI:0007- anti tag coimmunoprecipitation	GO:0023052;GO:0010183;GO:0007399	signaling;pollen tube guidance;nervous system development	30.01;40.01.03.03;47.03.01	cellular signalling;guidance of longitudinal cell extension (e.g. pollen tube guidance, axonal pathfinding);nervous system	Neuropilin-1 ;Plexin-A3	None	NRP VEGF165R;PLXN4 SEX	Homo sapiens (Human);Homo sapiens (Human)	NRP1;PLXNA3	None	Human is used as reference organism	10520995
5670	PlexinB1-Nrp1 complex	Mammalia	None	COS cells	O14786;O43157	8829;5364	MI:0007- anti tag coimmunoprecipitation	GO:0023052;GO:0010183;GO:0007399	signaling;pollen tube guidance;nervous system development	30.01;40.01.03.03;47.03.01	cellular signalling;guidance of longitudinal cell extension (e.g. pollen tube guidance, axonal pathfinding);nervous system	Neuropilin-1 ;Plexin-B1	None	NRP VEGF165R;KIAA0407 PLXN5 SEP	Homo sapiens (Human);Homo sapiens (Human)	NRP1;PLXNB1	None	Human is used as reference organism.	10520995
5673	PlexinA1-Nrp2 complex	Mammalia	None	COS cells	O60462;Q9UIW2	8828;5361	MI:0007- anti tag coimmunoprecipitation	GO:0023052;GO:0010183;GO:0007399	signaling;pollen tube guidance;nervous system development	30.01;40.01.03.03;47.03.01	cellular signalling;guidance of longitudinal cell extension (e.g. pollen tube guidance, axonal pathfinding);nervous system	Neuropilin-2 ;Plexin-A1	None	VEGF165R2;NOV PLXN1	Homo sapiens (Human);Homo sapiens (Human)	NRP2;PLXNA1	None	The orthologous human/mouse proteins are used.	10520995
5682	Retn homotrimer  complex	Mouse	None	None	Q99P87	57264	MI:0071- molecular sieving	GO:0043609;GO:0043610;GO:0006109;GO:0042445	regulation of carbon utilization;regulation of carbohydrate utilization;regulation of carbohydrate metabolic process;hormone metabolic process	01.05.25;01.08.02	regulation of C-compound and carbohydrate metabolism;metabolism of hormones	Resistin	None	Fizz3	Mus musculus (Mouse)	Retn	None	None	15155948
5683	hRAD51C-hXRCC3 complex	Human	None	None	O43543;Q06609	7516;5888	MI:0019- coimmunoprecipitation	GO:0006281	DNA repair	10.01.05.01	DNA repair	DNA repair protein XRCC2 ;DNA repair protein RAD51 homolog 1	None	;RAD51A RECA	Homo sapiens (Human);Homo sapiens (Human)	XRCC2;RAD51	None	None	15123651
5684	Membrane protein complex (DERL1, SELS, VCP)	Human	None	None	P55072;Q9BQE4;Q9BUN8	7415;55829;79139	MI:0019- coimmunoprecipitation;MI:0051- fluorescence technologies	GO:0030970	retrograde protein transport, ER to cytosol	None	None	Transitional endoplasmic reticulum ATPase ;Selenoprotein S ;Derlin-1	None	;SELS;DER1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	VCP;VIMP;DERL1	None	None	15215856
5685	Membrane protein complex (VCP, UFD1L, SEC61B)	Human	None	None	P55072;P60468;Q92890	7415;10952;7353	MI:0019- coimmunoprecipitation	GO:0030970	retrograde protein transport, ER to cytosol	None	None	Transitional endoplasmic reticulum ATPase ;Protein transport protein Sec61 subunit beta;Ubiquitin fusion degradation protein 1 homolog	None	;;	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	VCP;SEC61B;UFD1L	None	None	15215856
5689	SEMA6D-PlexinA1-NRP1 complex	Human	None	HEK 293 cells	O14786;Q8NFY4;Q9UIW2	8829;80031;5361	MI:0428- imaging techniques	GO:0023052;GO:0010183;GO:0048738;GO:0007507;GO:0007399;GO:9999988	signaling;pollen tube guidance;cardiac muscle tissue development;heart development;nervous system development;no GO term corresponding to 75.03.12.03	30.01;40.01.03.03;45.03.12.03;47.03.01;75.03.12.03	cellular signalling;guidance of longitudinal cell extension (e.g. pollen tube guidance, axonal pathfinding);heart muscle;nervous system;heart muscle	Neuropilin-1 ;Semaphorin-6D;Plexin-A1	None	NRP VEGF165R;KIAA1479;NOV PLXN1	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	NRP1;SEMA6D;PLXNA1	None	None	14977921
5691	TALL1 homo-oligomer complex	Human	None	None	Q9Y275	10673	MI:0071- molecular sieving; MI:0114- x-ray crystallography	GO:0030183	B cell differentiation	43.03.07.02.01.01	B-cell	Tumor necrosis factor ligand superfamily member 13B	None	BAFF BLYS TALL1 TNFSF20 ZTNF4	Homo sapiens (Human)	TNFSF13B	None	Oligomer	14749821
5693	Tip5-Dnmt-Hdac1 complex	Mouse	None	None	O09106;O88509;P13864;Q91YE5	433759;13436;13433;116848	MI:0096- pull down	GO:2001141;GO:0006355;GO:0006473;GO:0006476;GO:0003677	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;DNA binding	11.02.03.04;14.07.04;16.03.01	transcriptional control;modification by acetylation, deacetylation;DNA binding	Histone deacetylase 1 ;DNA ;DNA ;Bromodomain adjacent to zinc finger domain protein 2A	None	;;Dnmt Met1 Uim;Kiaa0314 Tip5	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Hdac1;Dnmt3b;Dnmt1;Baz2a	None	None	16085498
5694	Nucleolar remodeling complex (NoRC complex)	Human	None	None	O60264;Q9UIF9	8467;11176	MI:0019- coimmunoprecipitation	GO:0006265;GO:0009303;GO:0051276	DNA topological change;rRNA transcription;chromosome organization	10.01.09.05;11.02.01;42.10.03	DNA conformation modification (e.g. chromatin);rRNA synthesis;organization of chromosome structure	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 ;Bromodomain adjacent to zinc finger domain protein 2A	None	SNF2H WCRF135;KIAA0314 TIP5	Homo sapiens (Human);Homo sapiens (Human)	SMARCA5;BAZ2A	None	None	16085498
5695	TIP5-DNMT-HDAC1 complex	Human	None	None	P26358;Q13547;Q9UBC3;Q9UIF9	1786;3065;1789;11176	MI:0096- pull down	GO:2001141;GO:0006355;GO:0006473;GO:0006476;GO:0003677	regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;DNA binding	11.02.03.04;14.07.04;16.03.01	transcriptional control;modification by acetylation, deacetylation;DNA binding	DNA ;Histone deacetylase 1 ;DNA ;Bromodomain adjacent to zinc finger domain protein 2A	None	AIM CXXC9 DNMT;RPD3L1;;KIAA0314 TIP5	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	DNMT1;HDAC1;DNMT3B;BAZ2A	None	None	16085498
5696	VEGFA(165)-KDR-NRP1 complex	Human	None	None	O14786;P15692;P35968	8829;7422;3791	MI:0006- anti bait coimmunoprecipitation	GO:0007169;GO:0001525;GO:0001568;GO:0001944	transmembrane receptor protein tyrosine kinase signaling pathway;angiogenesis;blood vessel development;vasculature development	30.05.01.12;41.05.16;47.03.03.02	transmembrane receptor protein tyrosine kinase signalling pathways;angiogenesis;vessels	Neuropilin-1 ;Vascular endothelial growth factor A ;Vascular endothelial growth factor receptor 2	None	NRP VEGF165R;VEGF;FLK1 VEGFR2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	NRP1;VEGFA;KDR	Binding of the isoform VEGF(165) to NRP1 is essential for the association of NRP1 and KDR. In contrast, isoform VEGF(121) does no support the complex formation.	None	11948691
5697	VEGFA(165)-KDR-NRP1 complex	Pig	None	None	O14786;P49151;Q9N0K7	8829;397157;None	MI:0006- anti bait coimmunoprecipitation	GO:0007167;GO:0001525;GO:0001568;GO:0001944	enzyme linked receptor protein signaling pathway;angiogenesis;blood vessel development;vasculature development	30.05.01;41.05.16;47.03.03.02	receptor enzyme mediated signalling;angiogenesis;vessels	Neuropilin-1 ;Vascular endothelial growth factor A ;Flk-1 type VEGF receptor	None	NRP VEGF165R;VEGF;	Homo sapiens (Human);Sus scrofa (Pig);Sus scrofa (Pig)	NRP1;VEGFA;flk-1	Binding of the isoform VEGF(165) to NRP1 is essential for the association of NRP1 and KDR. In contrast, isoform VEGF(121) does not support the complex formation.	Since NRP1 from pig was not available in the UniProt database at the time of annotation, the orthologous human protein was used.	11948691
5698	VEGFA(165)-VEGFR2-NRP1 complex	Human	None	None	O14786;P15692;P35968	8829;7422;3791	MI:0006- anti bait coimmunoprecipitation	GO:0007169;GO:0001525;GO:0001568;GO:0001944	transmembrane receptor protein tyrosine kinase signaling pathway;angiogenesis;blood vessel development;vasculature development	30.05.01.12;41.05.16;47.03.03.02	transmembrane receptor protein tyrosine kinase signalling pathways;angiogenesis;vessels	Neuropilin-1 ;Vascular endothelial growth factor A ;Vascular endothelial growth factor receptor 2	None	NRP VEGF165R;VEGF;FLK1 VEGFR2	Homo sapiens (Human);Homo sapiens (Human);Homo sapiens (Human)	NRP1;VEGFA;KDR	VEGFR2 and NRP1 associate upon stimulation with VEGF(165). Phosphorylation of VEGFR2 is required for this association.	None	18628209
5701	NRP1-VEGF(165/121) complex	Human	None	None	O14786;P15692	8829;7422	MI:0107- surface plasmon resonance	GO:0001525;GO:0001568;GO:0001944	angiogenesis;blood vessel development;vasculature development	41.05.16;47.03.03.02	angiogenesis;vessels	Neuropilin-1 ;Vascular endothelial growth factor A	None	NRP VEGF165R;VEGF	Homo sapiens (Human);Homo sapiens (Human)	NRP1;VEGFA	In contrast to former publications (PMID:10991952), both isoforms of VEGFA, VEGF(165) and VEGF(121), bind to NRP1, but only VEGF165 is sufficient to promote complex formation between VEGFR2 and NRP1.	None	17575273
5702	VEGF-KDR-NRP2 complex	Pig	None	None	P49151;Q5RLQ5;Q9N0K7	397157;None;None	MI:0031- protein cross-linking with a bifunctional re	GO:0007167;GO:0001525;GO:0001568;GO:0001944	enzyme linked receptor protein signaling pathway;angiogenesis;blood vessel development;vasculature development	30.05.01;41.05.16;47.03.03.02	receptor enzyme mediated signalling;angiogenesis;vessels	Vascular endothelial growth factor A ;Neuropilin 2 ;Flk-1 type VEGF receptor	None	VEGF;;	Sus scrofa (Pig);Sus scrofa (Pig);Sus scrofa (Pig)	VEGFA;NRP2;flk-1	None	None	11278319
5703	Bash-Bnas2/Cmtm3-Btk-Erk2 complex	Mouse	None	None	P35991;P63085;Q99LJ5;Q9QUN3	12229;26413;68119;17060	MI:0019- coimmunoprecipitation	GO:0007166	cell surface receptor signaling pathway	30.05	transmembrane signal transduction	Tyrosine-protein kinase BTK ;Mitogen-activated protein kinase 1 ;CKLF-like MARVEL transmembrane domain-containing protein 3 ;B-cell linker protein	None	Bpk;Erk2 Mapk Prkm1;Cklfsf3;Bash Ly57 Slp65	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Btk;Mapk1;Cmtm3;Blnk	None	None	15087455
5705	CyclinA2-Cdk2 complex	Mouse	None	None	P51943;P97377	12428;12566	MI:0019- coimmunoprecipitation	GO:0007049;GO:0006974	cell cycle;cellular response to DNA damage stimulus	10.03;32.01.09	cell cycle;DNA damage response	Cyclin-A2 ;Cyclin-dependent kinase 2	None	Ccna Cyca;Cdkn2	Mus musculus (Mouse);Mus musculus (Mouse)	Ccna2;Cdk2	None	None	9371520
5706	CyclinB1-Cdc2 complex	Mouse	None	None	P11440;P24860	12534;268697	MI:0019- coimmunoprecipitation	GO:0007049;GO:0006974	cell cycle;cellular response to DNA damage stimulus	10.03;32.01.09	cell cycle;DNA damage response	Cyclin-dependent kinase 1 ;G2/mitotic-specific cyclin-B1	None	Cdc2 Cdc2a Cdkn1;Ccn-2 Ccnb1-rs13 Cycb Cycb1	Mus musculus (Mouse);Mus musculus (Mouse)	Cdk1;Ccnb1	None	None	9371520
5707	Ternary complex (Abl1, Dok1, Nck1)	Mouse	None	None	P00520;P97465;Q8BMV0	11350;13448;17973	MI:0019- coimmunoprecipitation	GO:0030036;GO:0001649	actin cytoskeleton organization;osteoblast differentiation	42.04.03;43.03.17	actin cytoskeleton;structural cell of tissue (fibroblast, osteoblast, etc.)	Tyrosine-protein kinase ABL1 ;Docking protein 1 ;Putative uncharacterized protein	None	Abl;Dok;	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Abl1;Dok1;Nck1	Mouse fibroblasts lacking c-Abl, Dok1, or Nck had fewer filopodia than cells reexpressing the product of the disrupted gene. Dok1 and c-Abl were both detected in filopodia of spreading cells, and therefore may act locally to modulate actin. The data suggest a novel pathway by which c-Abl transduces signals to the actin cytoskeleton through phosphorylating Dok1 Y361 and recruiting Nck.	None	15148308
5708	Dok1-Map4k4-Nck1-Rasa1 complex	Mouse	None	None	P97465;P97820;Q8BMV0;Q91YX7	13448;26921;17973;218397	MI:0019- coimmunoprecipitation	GO:0006468;GO:0006470;GO:0046777;GO:0007169	protein phosphorylation;protein dephosphorylation;protein autophosphorylation;transmembrane receptor protein tyrosine kinase signaling pathway	14.07.03;30.05.01.12	modification by phosphorylation, dephosphorylation, autophosphorylation;transmembrane receptor protein tyrosine kinase signalling pathways	Docking protein 1 ;Mitogen-activated protein kinase kinase kinase kinase 4 ;Putative uncharacterized protein ;RAS p21 protein activator 1	None	Dok;Nik;;	Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse);Mus musculus (Mouse)	Dok1;Map4k4;Nck1;Rasa1	None	None	10669731
